ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
974121252,Legend of Dragoon 2 : Petition Letter to Sony,Fiction,Publishing,EUR,2015-09-14,45.00,2015-09-04 19:58:52,6.00,failed,2,BE,6.73,6.85,51.39
974122374,Cholacoquetola's Corner. Literally! (Canceled),Fashion,Fashion,USD,2011-07-24,3500.00,2011-06-24 03:51:17,0.00,canceled,0,US,0.00,0.00,3500.00
974133905,S.C.E.G.A (Self Contained Economical Growing Apparatus),Spaces,Food,USD,2015-12-09,5500.00,2015-11-09 00:20:01,75.00,failed,1,US,75.00,75.00,5500.00
97413565,The Robot Factory - Burning Man 2012,Art,Art,USD,2012-07-29,2500.00,2012-07-04 04:41:48,2558.00,successful,40,US,2558.00,2558.00,2500.00
974138597,Traditional theatre wagon,Festivals,Theater,GBP,2017-08-11,1500.00,2017-07-12 14:45:00,91.00,failed,5,GB,0.00,118.11,1946.89
974140322,"""Chops"" from Gangrene Games (Canceled)",Tabletop Games,Games,USD,2015-12-02,5000.00,2015-11-02 17:56:04,938.00,canceled,34,US,938.00,938.00,5000.00
974140986,Esska watches - minimal and contemporary,Accessories,Fashion,GBP,2016-12-14,15000.00,2016-11-14 11:41:44,15458.00,successful,81,GB,780.05,19235.46,18665.54
974144753,SELF SUSTAINING SOLAR GREENHOUSE-engineering student project,Technology,Technology,USD,2015-09-18,17000.00,2015-07-30 22:44:46,5.00,canceled,1,US,5.00,5.00,17000.00
974151936,7 Decades of Music Icons (Canceled),Painting,Art,GBP,2015-01-03,25750.00,2014-12-02 17:42:04,58.00,canceled,1,GB,90.54,87.85,39003.33
974154047,Daymares and Nightlights by Neil Moss,Music,Music,USD,2014-10-28,11000.00,2014-09-28 13:24:23,34.00,failed,4,US,34.00,34.00,11000.00
97415774,Ryan's Steps,Fiction,Publishing,USD,2017-08-19,5000.00,2017-06-20 19:04:49,0.00,failed,0,US,0.00,0.00,5000.00
974158021,"Help Us Fund Our Album ""Sex Muzik"" coming in September",Indie Rock,Music,USD,2010-10-05,2500.00,2010-07-12 01:50:16,1.00,failed,1,US,1.00,1.00,2500.00
974158763,Raw Truth Radio,Music,Music,USD,2013-10-27,27000.00,2013-09-27 15:23:42,100.00,failed,1,US,100.00,100.00,27000.00
974159339,The Cataclysm Series books,Fiction,Publishing,USD,2014-08-12,5000.00,2014-07-23 11:39:12,110.00,failed,4,US,110.00,110.00,5000.00
974168739,Duo Multi-Tool,Design,Design,USD,2015-08-12,1000.00,2015-07-13 20:14:27,1948.00,successful,73,US,1948.00,1948.00,1000.00
974190209,"Cement All at Flux Factory, NYC",Sculpture,Art,USD,2015-07-06,4000.00,2015-06-21 18:07:13,4052.00,successful,73,US,4052.00,4052.00,4000.00
97419055,Art in Nature -The Beauty of Earth and the Female Form,Fine Art,Photography,USD,2016-02-20,6500.00,2016-01-21 00:11:38,321.00,failed,3,US,321.00,321.00,6500.00
97419369,SEFER. Zipperless jacket. Minimalistic and functional design,Apparel,Fashion,CAD,2017-03-29,30000.00,2017-02-27 23:01:08,961.00,failed,3,CA,0.00,720.23,22483.70
974200853,The best travel companion for your everyday personal care,Gadgets,Technology,USD,2015-09-08,10000.00,2015-08-05 06:55:40,33840.00,suspended,268,US,33840.00,33840.00,10000.00
974203858,Impressionism Landscapes,Painting,Art,USD,2012-09-17,3600.00,2012-08-21 04:46:42,81.00,failed,4,US,81.00,81.00,3600.00
974205113,Best phone holder you will ever need. It will stick anywhere,Product Design,Design,USD,2015-08-24,10000.00,2015-06-25 02:51:04,623.00,failed,28,US,623.00,623.00,10000.00
974209840,ISL,Theater,Theater,USD,2010-03-02,9000.00,2009-12-14 20:00:29,109.00,failed,3,US,109.00,109.00,9000.00
974210371,Tiesta Tea wants to introduce 2 oz. custom bags!,Food,Food,USD,2011-06-08,12000.00,2011-05-09 22:35:45,185.00,failed,6,US,185.00,185.00,12000.00
974226867,AWW - A Midwest based pro wrestling alternative.,Film & Video,Film & Video,USD,2014-10-14,15000.00,2014-08-15 23:53:39,27.00,failed,3,US,27.00,27.00,15000.00
974245673,The Saxophonist - A romantic short film,Shorts,Film & Video,USD,2017-08-15,5000.00,2017-07-13 20:57:34,25.00,canceled,1,US,0.00,25.00,5000.00
974249544,"Photo ""Bomb""",Photography,Photography,USD,2014-08-13,500.00,2014-07-23 16:32:16,5.00,failed,1,US,5.00,5.00,500.00
974263621,GoBuggy (Canceled),Product Design,Design,GBP,2015-04-27,20000.00,2015-03-28 21:17:25,10.00,canceled,1,GB,14.85,15.43,30865.63
974264376,The After School Program,Technology,Technology,USD,2016-10-06,10000.00,2016-09-06 23:26:27,1.00,failed,1,US,0.00,1.00,10000.00
974275062,"Think torture is wrong?  Join us in drafting a ""Blueprint for Accountability"". (Canceled)",Film & Video,Film & Video,USD,2010-05-08,10000.00,2010-04-05 23:18:18,100.00,canceled,1,US,100.00,100.00,10000.00
974276789,Cork it Now,Woodworking,Crafts,USD,2016-02-12,5000.00,2016-01-13 20:55:39,0.00,failed,0,US,0.00,0.00,5000.00
974278092,Graffiti Rock 30th Anniversary,Television,Film & Video,USD,2013-08-03,50000.00,2013-06-19 00:53:28,50811.55,successful,409,US,50811.55,50811.55,50000.00
974278662,Ray - The One,Music,Music,USD,2015-07-08,7000.00,2015-06-08 03:51:19,0.00,undefined,0,"N,0""",,0.00,7000.00
974279966,First Reality Novel,Fiction,Publishing,USD,2014-08-14,700000.00,2014-07-01 17:53:48,161.00,failed,7,US,161.00,161.00,700000.00
974280304,Burp - App for Sharing Photos with Foodies,Technology,Technology,USD,2014-03-30,1200.00,2014-02-28 06:50:18,271.00,failed,29,US,271.00,271.00,1200.00
974286294,Make and eat a beef bacon sandwich,Bacon,Food,GBP,2015-04-23,23.00,2015-03-24 16:53:11,12.00,failed,4,GB,17.91,18.14,34.77
974300041,"Brunswick Street, Art & Revolution",Publishing,Publishing,AUD,2016-12-14,5000.00,2016-11-14 10:43:56,1710.00,failed,21,AU,0.00,1253.67,3665.69
974304826,Mega Milkshake (Canceled),Drinks,Food,USD,2015-03-05,50.00,2015-02-03 23:02:04,0.00,canceled,0,US,0.00,0.00,50.00
974316120,Bucky the Sweet-Toothed Beaver children's book,Children's Books,Publishing,USD,2016-08-16,3000.00,2016-07-17 17:22:51,364.00,failed,8,US,57.00,364.00,3000.00
974320301,Blown,Art,Art,USD,2011-11-06,12000.00,2011-10-14 01:55:18,1187.00,failed,27,US,1187.00,1187.00,12000.00
974325391,Beautiful Trouble,Nonfiction,Publishing,USD,2011-10-13,12000.00,2011-09-13 07:02:09,13700.59,successful,246,US,13700.59,13700.59,12000.00
974328236,Lover's List: The Ultimate Couples Game,Nonfiction,Publishing,USD,2011-08-06,7000.00,2011-06-07 05:43:59,0.00,failed,0,US,0.00,0.00,7000.00
974333034,Westport Youth Film Festival,Film & Video,Film & Video,USD,2012-01-30,5000.00,2011-12-01 16:25:57,5105.00,successful,44,US,5105.00,5105.00,5000.00
974334271,Well Actually!: a Journal of Vernacular Criticism,Academic,Publishing,USD,2015-04-17,2000.00,2015-02-16 08:09:54,183.00,failed,10,US,183.00,183.00,2000.00
974336269,Suit Up Japan!,Photography,Photography,USD,2017-09-16,4000.00,2017-08-02 02:12:18,294.00,failed,6,US,0.00,294.00,4000.00
97433693,Sun of Sound Goes West,Hip-Hop,Music,USD,2013-09-28,1200.00,2013-08-29 04:58:25,1254.00,successful,28,US,1254.00,1254.00,1200.00
974342220,Famous! (Canceled),Television,Film & Video,GBP,2014-06-07,60000.00,2014-04-24 17:09:56,0.00,canceled,0,GB,0.00,0.00,101772.54
974370616,Getting ready for my first solo show,Painting,Art,USD,2012-01-30,9500.00,2011-12-31 01:46:23,0.00,failed,0,US,0.00,0.00,9500.00
974373268,EasyTouch: Turn your world into a touch sensor,Hardware,Technology,USD,2014-11-20,5000.00,2014-10-21 16:30:02,19274.00,successful,296,US,19274.00,19274.00,5000.00
974378771,PIEL: A Male Photography Book by Alex Hilbert,Photobooks,Photography,USD,2017-04-09,1000.00,2017-03-10 21:29:32,1265.00,successful,24,US,125.00,1265.00,1000.00
974381264,"BOLD MAID, a matching card game for kids.",Tabletop Games,Games,USD,2013-05-11,5000.00,2013-04-11 19:01:34,11642.00,successful,181,US,11642.00,11642.00,5000.00
974381528,Awakening In Taos - a Documentary Film,Documentary,Film & Video,USD,2011-06-19,30000.00,2011-05-05 16:28:35,40.00,failed,2,US,40.00,40.00,30000.00
974397433,EssayX.com,Web,Technology,AUD,2015-02-19,185000.00,2015-01-20 20:27:17,0.00,failed,0,AU,0.00,0.00,145154.96
974405974,Let's get Knights of the Guild Podcast back on the air,Radio & Podcasts,Publishing,USD,2011-09-03,2500.00,2011-08-12 09:10:41,3830.00,successful,67,US,3830.00,3830.00,2500.00
974407000,NEW NO LOVE IN THE PAINT SONG AND HI-DEF VIDEO,Hip-Hop,Music,USD,2013-02-09,175000.00,2012-12-11 03:48:20,1.01,failed,1,US,1.01,1.01,175000.00
974409488,Killbots: Card Game,Tabletop Games,Games,USD,2017-07-13,1000.00,2017-06-13 19:47:12,30148.00,successful,774,US,2846.00,30148.00,1000.00
974418036,ToGozy!,Accessories,Fashion,USD,2014-08-08,25000.00,2014-07-15 19:51:54,0.00,failed,0,US,0.00,0.00,25000.00
974419863,Pepesaur! I choose you!,Mixed Media,Art,USD,2017-02-05,275.00,2017-01-06 06:46:44,100.00,failed,10,US,20.00,100.00,275.00
974424253,Classic Films Reborn - Unsilent Film Double Feature,Experimental,Film & Video,CAD,2014-08-21,7000.00,2014-07-22 04:15:17,0.00,failed,0,CA,0.00,0.00,6388.61
974424469,Beachboard,Gadgets,Technology,USD,2017-12-02,30000.00,2017-10-18 20:26:20,75.00,failed,4,US,2896.00,75.00,30000.00
974428319,Support Location Of Incident Debut Album Release,Rock,Music,USD,2014-07-19,10000.00,2014-06-04 19:28:50,30.00,failed,3,US,30.00,30.00,10000.00
974432216,A Mythos Grimmly : A Lovecraftian Fairy Tale Anthology,Fiction,Publishing,USD,2014-06-09,10000.00,2014-05-09 03:16:54,11625.00,successful,318,US,11625.00,11625.00,10000.00
974434671,Mystery of La Luna,Comic Books,Comics,USD,2016-05-06,2000.00,2016-04-06 08:09:22,3516.00,successful,106,US,3516.00,3516.00,2000.00
974434688,Surviving the Journey: Letters from the Railroad,Nonfiction,Publishing,USD,2011-08-04,3000.00,2011-06-19 17:07:55,3555.00,successful,62,US,3555.00,3555.00,3000.00
974445487,Michael Jackson Umbrellas and Water Bottles (Canceled),Illustration,Art,USD,2014-04-09,35000.00,2014-03-10 04:49:19,675.00,canceled,12,US,675.00,675.00,35000.00
974449992,STRETCH AND BOBBITO: RADIO THAT CHANGED LIVES,Documentary,Film & Video,USD,2015-09-13,50000.00,2015-08-14 07:51:16,65305.00,successful,749,US,65305.00,65305.00,50000.00
974457497,"Self-Publishing ""Warlocks Magic: A Hero's Journey""",Fiction,Publishing,USD,2017-03-15,2000.00,2017-01-25 19:08:56,131.00,failed,3,US,100.00,131.00,2000.00
974459627,Night Clan,Tabletop Games,Games,EUR,2017-07-06,8000.00,2017-06-06 15:59:09,1992.00,canceled,105,ES,2104.23,2273.27,9129.61
974465386,Support Twotubers,Film & Video,Film & Video,EUR,2016-04-11,2000.00,2016-02-11 23:32:45,0.00,undefined,0,"N,0""",,0.00,2256.80
97446705,The Great Heartland Hauling Co: A card game for 2-4 truckers,Tabletop Games,Games,USD,2012-09-07,10000.00,2012-08-01 05:59:18,35218.22,successful,1084,US,35218.22,35218.22,10000.00
974468569,THE STAYING KIND | A Short Film,Shorts,Film & Video,USD,2015-10-30,5000.00,2015-10-15 06:39:06,11877.00,successful,74,US,11877.00,11877.00,5000.00
974474790,CorbinDances: 5th Anniversary Season,Dance,Dance,USD,2011-06-13,3000.00,2011-05-12 03:56:30,3475.00,successful,27,US,3475.00,3475.00,3000.00
974477981,Amongst Us,Drama,Film & Video,AUD,2014-10-02,650.00,2014-08-26 14:27:35,685.00,successful,8,AU,637.89,599.51,568.88
974484305,"""MikeyJ"" brand launch",Childrenswear,Fashion,AUD,2017-12-15,3000.00,2017-10-16 23:02:30,0.00,failed,0,AU,0.00,0.00,2302.56
974486425,BILLY BULLY'S WAKE UP DREAM,Children's Books,Publishing,USD,2012-04-05,5000.00,2012-02-29 22:10:13,5489.00,successful,76,US,5489.00,5489.00,5000.00
974491464,"Chris J Arellano  ""It's About Time!""",Country & Folk,Music,USD,2015-04-29,5500.00,2015-03-30 08:48:51,6194.00,successful,70,US,6194.00,6194.00,5500.00
974500046,Digiscoping adapter for Swarovski,Camera Equipment,Technology,USD,2016-08-10,4000.00,2016-07-21 06:15:20,70.00,failed,2,US,0.00,70.00,4000.00
974512928,ME & PAUL (Canceled),Documentary,Film & Video,USD,2011-10-29,10000.00,2011-08-30 16:02:16,275.00,canceled,6,US,275.00,275.00,10000.00
974522518,The Neo Myth Project,Painting,Art,USD,2016-01-18,2000.00,2015-12-16 02:12:46,1000.00,failed,2,US,1000.00,1000.00,2000.00
974536930,The Dead Armadillos' second album full of Folk Rock!,Country & Folk,Music,USD,2013-05-13,1253.00,2013-04-13 22:14:44,1289.00,successful,24,US,1289.00,1289.00,1253.00
974546453,CB East Physics Club - Space Balloon,Technology,Technology,USD,2013-04-10,200.00,2013-03-11 12:20:10,892.00,successful,53,US,892.00,892.00,200.00
974549139,Electronic Covers,Music,Music,USD,2014-12-18,4000.00,2014-12-04 04:59:28,50.00,undefined,0,"N,0""",,50.00,4000.00
974555495,Groupie-Squirrel T-Shirts,Fashion,Fashion,USD,2013-11-08,1000.00,2013-10-09 23:50:02,1315.00,successful,23,US,1315.00,1315.00,1000.00
974559690,Concierge Nails Across America,Public Art,Art,USD,2015-03-06,4000.00,2015-01-05 18:56:04,50.00,failed,2,US,50.00,50.00,4000.00
974562133,The Less Than Epic Adventures of TJ and Amal Omnibus!,Webcomics,Comics,USD,2015-03-26,18500.00,2015-02-24 06:14:41,65601.00,successful,1409,US,65601.00,65601.00,18500.00
974568641,Truckin' for Duke City Rep,Theater,Theater,USD,2012-01-08,5000.00,2011-12-09 23:18:57,5365.00,successful,79,US,5365.00,5365.00,5000.00
974571075,Garage Border Control: Closes your door if you forget!,Hardware,Technology,USD,2014-01-06,12500.00,2013-12-05 22:54:03,12696.00,successful,398,US,12696.00,12696.00,12500.00
974574948,Searching for Proof,Documentary,Film & Video,USD,2016-11-10,10000.00,2016-09-26 21:11:14,410.00,canceled,10,US,20.00,410.00,10000.00
974575896,Take Washed to the Capital Fringe Festival,Theater,Theater,USD,2011-07-14,700.00,2011-06-15 04:39:13,735.00,successful,18,US,735.00,735.00,700.00
974584377,HEART: Flatline to Finish Line,Documentary,Film & Video,USD,2012-07-20,20000.00,2012-05-21 23:17:54,22037.20,successful,163,US,22037.20,22037.20,20000.00
974594447,"""Musicians For Kildonan"" Music Scholarship Project",Music,Music,USD,2015-10-09,2500.00,2015-08-10 17:15:38,0.00,undefined,0,"N,0""",,0.00,2500.00
974600278,Teasing the Funny Bone- Get the Bad Clowns to Edinburgh!,Comedy,Theater,GBP,2017-07-19,100.00,2017-06-01 15:58:44,135.00,successful,6,GB,0.00,175.39,129.92
97461704,The Last of The Great Romantics,Narrative Film,Film & Video,USD,2012-02-18,10000.00,2012-01-19 20:49:00,11689.00,successful,107,US,11689.00,11689.00,10000.00
974620907,You've Never Seen A TieBar & Pocket Square Like This Before!,Accessories,Fashion,USD,2016-05-14,15000.00,2016-04-04 19:03:52,25963.79,successful,369,US,25963.79,25963.79,15000.00
974640647,Be a part of KELL ON URTH's debut album!,Pop,Music,GBP,2013-08-12,2300.00,2013-07-11 13:02:00,3887.00,successful,116,GB,5777.31,6077.05,3595.89
974641028,Descendant of the Nephilim,Graphic Novels,Comics,AUD,2017-10-03,2000.00,2017-09-05 06:00:32,2335.00,successful,86,AU,79.61,1815.14,1554.73
974643231,Hey Jude The Novel,Art Books,Publishing,USD,2016-10-26,6000.00,2016-09-26 16:32:21,196.00,canceled,3,US,164.00,196.00,6000.00
974645581,"soda, jam & pickles, from Montreal with love",Food,Food,USD,2013-06-30,10000.00,2013-05-31 00:14:00,20455.00,successful,102,US,20455.00,20455.00,10000.00
974648619,Sweet Magnolia Bath and Body (Canceled),Crafts,Crafts,USD,2014-08-07,1000.00,2014-07-08 02:50:22,287.00,canceled,16,US,287.00,287.00,1000.00
974651547,2017 LETTERPRESS CALENDAR . Limited Edition Print,Calendars,Publishing,EUR,2016-11-15,10500.00,2016-10-06 12:43:08,18039.00,successful,269,FR,4504.18,19173.70,11160.48
974653442,All-in-one Phone Wallet,Product Design,Design,AUD,2015-06-29,30000.00,2015-05-22 00:58:24,238.00,failed,4,AU,188.67,179.08,22573.36
974659317,CraftLit Podcast Tunes Up and Reaches Out,Design,Design,USD,2009-12-20,3500.00,2009-09-22 05:36:57,849.00,failed,21,US,849.00,849.00,3500.00
974666896,Open Heart Surgery - Manufacturing positive energy,Installations,Art,USD,2015-08-28,10000.00,2015-07-29 14:24:58,11050.00,successful,57,US,11050.00,11050.00,10000.00
974669067,Cathercist: Operation Get Back on the Road,Rock,Music,USD,2012-04-15,45000.00,2012-02-18 00:20:23,25.00,failed,1,US,25.00,25.00,45000.00
97467601,"""Let Me Sell You A Dream"" New Music By Rafi & Klee",Music,Music,USD,2010-07-16,550.00,2010-06-29 02:23:34,7.00,failed,1,US,7.00,7.00,550.00
974676572,Divvy - Divide and Conquer your shopping,Apps,Technology,EUR,2015-04-21,10000.00,2015-03-22 13:37:47,685.00,failed,9,IE,741.22,741.45,10824.03
974680844,Ruthless Moon Album!,Country & Folk,Music,USD,2017-05-16,2500.00,2017-04-13 18:58:54,2760.00,successful,60,US,55.00,2760.00,2500.00
974683552,STAGE PLAY LOVE'UM -N- LEAVE'UM,Theater,Theater,USD,2012-09-30,400.00,2012-08-21 21:43:21,56.00,failed,4,US,56.00,56.00,400.00
974684692,MYCLOTHES - The New Way To Buy Clothes,Product Design,Design,CAD,2017-10-21,10000.00,2017-09-21 21:07:22,3719.00,failed,80,CA,294.82,2884.73,7756.75
974692673,"Hazang: Luxury Bamboo Speakers, Handcrafted in Vietnam.",Product Design,Design,EUR,2016-07-14,12500.00,2016-06-14 19:59:32,12618.00,successful,88,FR,10419.61,14041.37,13910.06
974692941,NYSF Physics Exhibit: A Melding of Art and Science,Design,Design,USD,2012-03-25,500.00,2012-01-25 03:51:30,232.00,failed,11,US,232.00,232.00,500.00
974709755,The Sugar Cube Factory,Publishing,Publishing,USD,2012-07-15,4000.00,2012-06-10 15:04:08,4058.31,successful,137,US,4058.31,4058.31,4000.00
974715721,"""Afro-Jersey!""",World Music,Music,USD,2012-05-20,21500.00,2012-04-10 13:21:29,8385.00,failed,93,US,8385.00,8385.00,21500.00
974730432,"Evergreen: A smarter, easier way to garden",Hardware,Technology,USD,2017-06-18,15000.00,2017-05-24 14:58:59,736.77,canceled,10,US,471.00,736.77,15000.00
974733048,The Dust Land,Comic Books,Comics,USD,2015-06-26,4500.00,2015-04-27 19:39:37,50.00,failed,1,US,50.00,50.00,4500.00
974737771,50 shades of fade poster (master the art)  video tutorials,Design,Design,USD,2016-08-21,2999.00,2016-07-19 07:12:24,2.00,failed,2,US,0.00,2.00,2999.00
974738310,EVO Planner: The World's First Personalized Flow System,Product Design,Design,USD,2018-02-09,15000.00,2018-01-02 14:15:38,269.00,live,8,US,269.00,269.00,15000.00
974744964,MONSTER DICE,Tabletop Games,Games,USD,2017-11-01,12220.00,2017-10-03 18:12:27,14453.00,successful,307,US,2743.00,14453.00,12220.00
97475186,I'm knitting a sock,Footwear,Fashion,AUD,2014-09-06,50.00,2014-07-23 00:47:54,9.00,failed,3,AU,8.42,8.15,45.27
97476919,Adicao Will Revolutionize the World! or at Least Your Closet,Fashion,Fashion,USD,2014-01-20,40000.00,2013-12-06 01:21:10,40.00,failed,1,US,40.00,40.00,40000.00
97477341,Icebox Journal,Publishing,Publishing,USD,2012-12-09,1250.00,2012-11-09 20:57:02,1250.00,successful,32,US,1250.00,1250.00,1250.00
974777705,GoPUDOS: On-Demand Pick Up Drop Off Service,Technology,Technology,USD,2016-11-11,75000.00,2016-10-12 16:41:02,5.00,failed,1,US,0.00,5.00,75000.00
974779103,The Yellow Dress/Girl Named T SW Tour Fun(d)!!,Indie Rock,Music,USD,2011-07-29,700.00,2011-07-02 21:28:52,1211.00,successful,20,US,1211.00,1211.00,700.00
974785492,Mimika's new album - Divinities of the Earth and the Waters,Music,Music,GBP,2016-09-24,3200.00,2016-07-26 08:47:48,209.00,failed,11,GB,13.14,270.91,4147.98
97478960,Luzèra Mìsticos (Instructional Journal),Literary Journals,Publishing,USD,2016-05-21,10000.00,2016-04-19 06:10:23,10.00,failed,1,US,10.00,10.00,10000.00
974796951,David J - Lonely Chaplin,Classical Music,Music,USD,2015-10-11,1.00,2015-09-01 16:53:04,30.00,successful,4,US,30.00,30.00,1.00
97479757,Frontier Fantasy: A Turned-Based Rpg,Video Games,Games,CAD,2013-11-12,5000.00,2013-09-13 20:53:22,217.00,failed,15,CA,210.26,207.38,4778.29
974807311,"Hippo Noto, a Hippo Size Tomoe Paper Notebook",Journalism,Journalism,USD,2017-04-23,12500.00,2017-03-24 09:26:38,79090.14,successful,1401,US,27982.00,79090.14,12500.00
974810285,"Produce ""Stockholm""",Shorts,Film & Video,USD,2011-10-29,2250.00,2011-10-16 05:18:27,2289.36,successful,27,US,2289.36,2289.36,2250.00
974816571,Justus for Justice 3: The Rise of Goose KICKSTARTER,Comedy,Film & Video,USD,2015-06-21,1000.00,2015-05-07 02:57:20,70.00,failed,3,US,70.00,70.00,1000.00
974817890,"New book on ""mind-hacks"" to shed fat and get fit for life!",Nonfiction,Publishing,GBP,2015-03-12,10000.00,2015-02-10 19:51:59,3396.00,failed,138,GB,5179.66,5019.58,14780.87
974821092,fund my book titled Morningstar Stone: Decisions (working ti,Fiction,Publishing,USD,2012-09-29,3000.00,2012-08-30 20:02:06,0.00,failed,0,US,0.00,0.00,3000.00
974824272,Bold as Love... My Time With Kalderash (Gypsies),Art Books,Publishing,USD,2012-07-27,12000.00,2012-06-19 21:13:02,1423.00,failed,19,US,1423.00,1423.00,12000.00
974831420,Low Cost 360 (3D) Photography Equipment System,Photography,Photography,USD,2014-09-20,35000.00,2014-08-21 21:20:26,20.00,failed,1,US,20.00,20.00,35000.00
974833714,Art of Cardistry Playing Cards Printed By USPCC,Playing Cards,Games,HKD,2017-12-01,60000.00,2017-11-01 14:01:28,221593.00,successful,636,HK,13966.51,28363.54,7679.90
974834260,Peace Before The Storm,Classical Music,Music,USD,2013-12-26,4000.00,2013-11-25 19:45:59,4080.00,successful,37,US,4080.00,4080.00,4000.00
974841070,Buff Your Dog - Official UV Buff Headgear Filled With Dogs!,Ready-to-wear,Fashion,USD,2016-06-26,2750.00,2016-05-27 16:38:44,1915.00,failed,24,US,1915.00,1915.00,2750.00
974844076,Chloe and Attie - The Feature Film,Film & Video,Film & Video,USD,2011-10-21,24000.00,2011-09-14 06:15:40,25434.09,successful,139,US,25434.09,25434.09,24000.00
974883131,INVISION,Video Games,Games,USD,2015-01-11,30000.00,2014-12-12 22:18:14,12.00,failed,3,US,12.00,12.00,30000.00
974883459,INWATER. MAKE YOUR SODA´S AT HOME,Drinks,Food,SEK,2015-11-11,710000.00,2015-10-12 17:00:27,100.00,failed,1,SE,12.20,11.53,81834.95
974886127,Champions of Arkazure,Video Games,Games,USD,2016-03-31,12658.00,2016-03-01 22:48:10,242.00,failed,13,US,242.00,242.00,12658.00
974887562,"Creating ""The Marvel"" (Canceled)",Fiction,Publishing,USD,2012-11-22,6000.00,2012-10-23 09:06:01,572.00,canceled,21,US,572.00,572.00,6000.00
974892329,"Beauty Within TV: ""True beauty Lies Within""",Film & Video,Film & Video,USD,2012-06-07,35000.00,2012-04-23 03:13:01,1.00,failed,1,US,1.00,1.00,35000.00
974903012,"""Things That Go Bump"" A CG animated feature film (Canceled)",Animation,Film & Video,USD,2011-02-16,150000.00,2011-01-07 06:01:19,0.00,canceled,0,US,0.00,0.00,150000.00
974903830,Sleeve - The Future of Gaming,Fashion,Fashion,EUR,2015-06-11,25000.00,2015-05-12 08:50:32,157.00,failed,5,DE,175.19,176.15,28049.86
974907172,"""Philly"" a new musical in development for Broadway",Musical,Theater,USD,2015-10-01,16000.00,2015-08-31 16:09:01,4610.00,failed,18,US,4610.00,4610.00,16000.00
974909034,RECOVERY ALERT HANDMADE BRACELETS,Civic Design,Design,USD,2016-08-11,440.00,2016-07-27 17:16:50,2.00,failed,2,US,0.00,2.00,440.00
974919386,"Elijah Jamal Balbed's Debut CD: ""Checking In""",Jazz,Music,USD,2011-09-01,2000.00,2011-08-02 19:26:33,2146.00,successful,55,US,2146.00,2146.00,2000.00
974922611,FREE WHEEL: A New Mobile Toy You Can't Stop,Product Design,Design,AUD,2018-01-28,5000.00,2017-12-04 13:14:08,615.00,canceled,33,AU,144.61,484.18,3936.39
974926630,Hadron Colliderscope,Publishing,Publishing,USD,2010-08-07,4000.00,2010-05-21 06:47:39,0.00,failed,0,US,0.00,0.00,4000.00
974928478,Living with Bladder Extrophy,Film & Video,Film & Video,USD,2015-12-05,1000.00,2015-11-05 16:54:32,10.00,failed,1,US,10.00,10.00,1000.00
